"","StationID","New_Lat","New_Long","NAME"
"342","206PS0230",37.95974703,-122.2786716,"Contra Costa"
"343","206R00407",37.944068,-121.92226,"Contra Costa"
"344","206R00551",37.962813,-122.34641,"Contra Costa"
"345","206R00919",37.955958,-122.26969,"Contra Costa"
"346","206RCCBDC",38.3547434,-122.42662,"Napa"
"347","206RIC100",38.5514306,-122.52171,"Napa"
"348","206SON300",38.4427022,-122.5307,"Sonoma"
"349","206TUL120",38.2846145,-122.21754,"Napa"
"350","207MTD117",37.9185185,-121.94435,"Contra Costa"
"351","207PS0142",37.9500284,-121.97295,"Contra Costa"
"352","207PS0150",37.8604875,-122.03364,"Contra Costa"
"353","207PS0241",38.29350337,-122.0228675,"Solano"
"354","207R00395",37.8927882,-122.10487,"Contra Costa"
"355","207R00631",37.9442386,-122.06558,"Contra Costa"
"356","207R00843",37.867723,-122.09569,"Contra Costa"
"357","207SUI290",38.3718771,-122.14051,"Napa"
"358","207WAL475",37.8306396,-122.07502,"Contra Costa"
"359","304APS",37.0013834,-121.90621,"Santa Cruz"
"360","304BEP",37.1278994,-122.12155,"Santa Cruz"
"361","304BH9",37.1267828,-122.12174,"Santa Cruz"
"362","304PS0006",36.9764261,-121.89395,"Santa Cruz"
"363","304PS0018",37.1185791,-122.04957,"Santa Cruz"
"364","304PS0146",36.9831855,-121.99481,"Santa Cruz"
"365","304PS0194",37.1596564,-122.234,"Santa Cruz"
"366","304PS0253",37.20195637,-122.1467874,"Santa Cruz"
"367","304PS0274",37.04828006,-122.0667958,"Santa Cruz"
"368","304SCM",37.1042967,-122.25171,"Santa Cruz"
"369","304SL9",37.0886046,-122.08778,"Santa Cruz"
"370","304SOU",37.03414,-121.94311,"Santa Cruz"
"371","304SPC236",37.1682838,-122.21376,"Santa Cruz"
"372","304WDCAH1",37.1137324,-122.26962,"Santa Cruz"
"373","304ZAY",37.0493801,-122.06547,"Santa Cruz"
"374","305BRI",36.6145634,-121.21102,"San Benito"
"375","305CLCSBR",36.3616297,-120.75938,"San Benito"
"376","305COR2",36.9890148,-121.80242,"Santa Cruz"
"377","305LGCACR",36.3491015,-120.82104,"San Benito"
"378","305LGCBRC",37.1476993,-121.77339,"Santa Clara"
"379","305PS0034",36.915363,-121.69639,"Santa Cruz"
"380","305PS0061",37.082372,-121.60103,"Santa Clara"
"381","305SSCAUC",37.0847848,-121.79411,"Santa Clara"
"382","305UVCASC",37.0866973,-121.79445,"Santa Clara"
"383","307CE0094",36.428069,-121.75771,"Monterey"
"384","307CMRADC",36.3721962,-121.66301,"Monterey"
"385","307PS0028",36.4081937,-121.68047,"Monterey"
"386","307PS0044",36.5053552,-121.76334,"Monterey"
"387","307SCCARR",36.4307261,-121.79839,"Monterey"
"388","308BGC",36.070003,-121.59998,"Monterey"
"389","308BSU",36.2455985,-121.77339,"Monterey"
"390","308LILPAL",36.3403402,-121.80863,"Monterey"
"391","308LSRASC",36.3258426,-121.78933,"Monterey"
"392","308MWCAH1",36.1625779,-121.66598,"Monterey"
"393","308PS0156",36.3276744,-121.78976,"Monterey"
"394","308PS0204",36.26013902,-121.7941469,"Monterey"
"395","308PWCAH1",35.9355457,-121.46781,"Monterey"
"396","308ROCBBQ",36.3781458,-121.88621,"Monterey"
"397","308SAM",35.8143905,-121.35896,"Monterey"
"398","308SANWIL",36.4905477,-121.86728,"Monterey"
"399","308SBCAH1",36.45627,-121.92522,"Monterey"
"400","309ARCBRC",36.2360842,-121.48341,"Monterey"
"401","309ARSARC",36.1198069,-121.46888,"Monterey"
"402","309CAW126",36.2307198,-121.55156,"Monterey"
"403","309CLCBVC",36.4662684,-121.15444,"San Benito"
"404","309LAS1MI",36.2289511,-121.49513,"Monterey"
"405","309LOR",36.2672139,-121.06957,"Monterey"
